timestamp	idea_id	idea_name	archetype	timeframe	param_count	params_json	gross_pf	net_pf	win_rate	total_trades	sharpe	sortino	max_dd	max_dd_duration_days	expectancy_gross	expectancy_net	avg_duration_hours	strategy_pnl_gross	strategy_pnl_net	buy_hold_pnl	total_costs	verdict	reason	regime_pass	data_bars	data_period	cost_pct
2026-03-01T14:51:32.232225	R049	Trend Acceleration After Pause (TAAP)	trend_pullback	4H	7	"{""ma_period"":30,""ma_slope_bars"":5,""pullback_pct"":2.0,""roc_period"":3,""min_roc"":0.5,""stop_pct"":3.0,""target_pct"":6.0}"	1.3	1.24	0.4	80	0.59	99.0	21050.86	284.0	401.67	328.72	105.0	32133.7	26297.76	44023.99	5835.93	promote	Gross PF 1.30 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:54:40.466663	R050	Asymmetric Volatility Breakout (AVB)	range_compression_expansion	4H	7	"{""atr_period"":20,""atr_lookback"":60,""compression_percentile"":10,""breakout_atr_mult"":1.5,""confirmation_bars"":2,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	2.44	2.29	0.426	47	1.35	99.0	11139.29	223.0	1091.62	1023.01	98.1	51306.03	48081.54	44023.99	3224.49	promote	Gross PF 2.44 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:57:38.058628	R051	Momentum Persistence After Consolidation (MPAC)	consecutive_momentum	4H	4	"{""channel_period"":20,""consec_bars"":3,""stop_pct"":2.0,""target_pct"":12.0}"	1.39	1.32	0.212	80	0.79	99.0	15892.1	252.0	444.88	375.36	111.8	35590.05	30028.63	44023.99	5561.41	promote	Gross PF 1.39 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:57:48.574579	R052	High-Volatility Regime Momentum Surge (HVRMS)	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":14,""atr_history"":120,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.3	1.25	0.296	71	0.78	7.02	36037.54	245.0	465.96	401.65	215.7	33083.07	28516.95	44023.99	4566.12	kill	Gross PF 1.30 — positive expectancy but below 1.3 threshold.		6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:58:03.118276	R053	Momentum Persistence After Strong Trend Days	consecutive_momentum	4H	4	"{""channel_period"":20,""consec_bars"":3,""stop_pct"":2.0,""target_pct"":12.0}"	1.39	1.32	0.212	80	0.79	99.0	15892.1	252.0	444.88	375.36	111.8	35590.05	30028.63	44023.99	5561.41	promote	Gross PF 1.39 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:58:13.670182	R054	Volatility Expansion Continuation	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":14,""atr_history"":120,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.3	1.25	0.296	71	0.78	7.02	36037.54	245.0	465.96	401.65	215.7	33083.07	28516.95	44023.99	4566.12	kill	Gross PF 1.30 — positive expectancy but below 1.3 threshold.		6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:58:32.529875	R055	Multi-Timeframe Trend Alignment Breakout	mtf_breakout	4H	4	"{""channel_period"":20,""trend_ma_period"":90,""stop_pct"":2.0,""target_pct"":6.0}"	1.48	1.38	0.362	116	1.29	99.0	15668.6	246.0	436.25	367.8	74.6	50605.0	42664.94	44023.99	7940.06	promote	Gross PF 1.48 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:58:47.965203	R056	Volatility Spike Trend Continuation (VSTC)	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":14,""atr_history"":120,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.3	1.25	0.296	71	0.78	7.02	36037.54	245.0	465.96	401.65	215.7	33083.07	28516.95	44023.99	4566.12	kill	Gross PF 1.30 — positive expectancy but below 1.3 threshold.		6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:58:59.720959	R057	Multi-Timeframe Volume Surge Breakout (MTVSB)	volume_breakout	4H	5	"{""channel_period"":15,""vol_period"":20,""vol_mult"":1.5,""stop_pct"":2.0,""target_pct"":6.0}"	1.31	1.22	0.331	130	0.96	99.0	20077.28	205.0	283.14	216.73	66.6	36808.49	28174.8	44023.99	8633.68	promote	Gross PF 1.31 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
2026-03-01T14:59:08.491354	R058	Trend Resumption After Shallow Pullback (TRASP)	trend_pullback	4H	7	"{""ma_period"":30,""ma_slope_bars"":5,""pullback_pct"":2.0,""roc_period"":3,""min_roc"":0.5,""stop_pct"":3.0,""target_pct"":6.0}"	1.3	1.24	0.4	80	0.59	99.0	21050.86	284.0	401.67	328.72	105.0	32133.7	26297.76	44023.99	5835.93	promote	Gross PF 1.30 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-03-02 → 2026-03-01	0.1
